indice,frame,segundos,timestamp,estado_anterior,estado_novo,n_estado_novo,v_mean,frac_red,sat_mean
1,51,2.040,00:00:02.040,BRANCO,CRUZ_FIX,1,131.46,0.00490,8.11
2,77,3.080,00:00:03.080,CRUZ_FIX,FACE,1,124.49,0.01482,30.11
3,152,6.080,00:00:06.080,FACE,CRUZ_FIX,2,130.94,0.00000,8.06
4,177,7.080,00:00:07.080,CRUZ_FIX,FACE,2,129.14,0.02299,16.72
5,250,10.000,00:00:10.000,FACE,CRUZ_FIX,3,131.39,0.00428,8.11
6,274,10.960,00:00:10.960,CRUZ_FIX,FACE,3,141.26,0.00224,21.70
7,347,13.880,00:00:13.880,FACE,CRUZ_FIX,4,131.30,0.00341,8.02
8,372,14.880,00:00:14.880,CRUZ_FIX,FACE,4,128.02,0.00001,44.68
9,448,17.920,00:00:17.920,FACE,CRUZ_FIX,5,131.22,0.00251,8.07
10,472,18.880,00:00:18.880,CRUZ_FIX,FACE,5,134.96,0.00905,24.88
11,544,21.760,00:00:21.760,FACE,CRUZ_FIX,6,131.21,0.00272,8.10
12,569,22.760,00:00:22.760,CRUZ_FIX,FACE,6,130.58,0.00355,39.35
13,644,25.760,00:00:25.760,FACE,CRUZ_FIX,7,131.34,0.00395,8.10
14,668,26.720,00:00:26.720,CRUZ_FIX,FACE,7,140.06,0.00096,18.43
15,740,29.600,00:00:29.600,FACE,CRUZ_FIX,8,130.98,0.00000,8.05
16,766,30.640,00:00:30.640,CRUZ_FIX,FACE,8,135.10,0.10760,21.48
17,841,33.640,00:00:33.640,FACE,CRUZ_FIX,9,130.93,0.00000,8.12
18,867,34.680,00:00:34.680,CRUZ_FIX,FACE,9,128.05,0.01522,22.23
19,940,37.600,00:00:37.600,FACE,CRUZ_FIX,10,130.96,0.00000,8.08
20,967,38.680,00:00:38.680,CRUZ_FIX,FACE,10,136.45,0.00596,36.61
21,1041,41.640,00:00:41.640,FACE,CRUZ_FIX,11,130.96,0.00000,8.02
22,1066,42.640,00:00:42.640,CRUZ_FIX,FACE,11,137.07,0.03022,16.28
23,1141,45.640,00:00:45.640,FACE,CRUZ_FIX,12,130.97,0.00000,8.04
24,1166,46.640,00:00:46.640,CRUZ_FIX,FACE,12,139.13,0.00599,27.08
25,1241,49.640,00:00:49.640,FACE,CRUZ_FIX,13,130.96,0.00000,8.05
26,1266,50.640,00:00:50.640,CRUZ_FIX,FACE,13,134.82,0.00298,36.27
27,1341,53.640,00:00:53.640,FACE,CRUZ_FIX,14,131.15,0.00246,8.10
28,1464,58.560,00:00:58.560,CRUZ_FIX,FACE,14,126.02,0.00678,38.80
29,1539,61.560,00:01:01.560,FACE,CRUZ_FIX,15,131.41,0.00435,8.10
30,1564,62.560,00:01:02.560,CRUZ_FIX,FACE,15,133.63,0.02266,15.97
31,1639,65.560,00:01:05.560,FACE,CRUZ_FIX,16,131.45,0.00491,8.09
32,1664,66.560,00:01:06.560,CRUZ_FIX,FACE,16,137.75,0.05178,59.77
33,1740,69.600,00:01:09.600,FACE,CRUZ_FIX,17,131.48,0.00490,8.07
34,1764,70.560,00:01:10.560,CRUZ_FIX,FACE,17,126.51,0.00780,36.38
35,1838,73.520,00:01:13.520,FACE,CRUZ_FIX,18,130.99,0.00000,8.02
36,1864,74.560,00:01:14.560,CRUZ_FIX,FACE,18,135.00,0.00457,37.79
37,1937,77.480,00:01:17.480,FACE,CRUZ_FIX,19,131.13,0.00223,8.13
38,1963,78.520,00:01:18.520,CRUZ_FIX,FACE,19,134.34,0.00103,32.97
39,2037,81.480,00:01:21.480,FACE,CRUZ_FIX,20,130.98,0.00000,8.02
40,2062,82.480,00:01:22.480,CRUZ_FIX,FACE,20,129.48,0.00103,26.25
41,2137,85.480,00:01:25.480,FACE,CRUZ_FIX,21,130.95,0.00000,8.05
42,2162,86.480,00:01:26.480,CRUZ_FIX,FACE,21,124.45,0.00685,41.56
43,2237,89.480,00:01:29.480,FACE,CRUZ_FIX,22,131.45,0.00491,8.10
44,2263,90.520,00:01:30.520,CRUZ_FIX,FACE,22,124.27,0.02143,41.06
45,2337,93.480,00:01:33.480,FACE,CRUZ_FIX,23,131.41,0.00457,8.12
46,2362,94.480,00:01:34.480,CRUZ_FIX,FACE,23,131.79,0.00137,20.69
47,2438,97.520,00:01:37.520,FACE,CRUZ_FIX,24,131.16,0.00233,8.12
48,2463,98.520,00:01:38.520,CRUZ_FIX,FACE,24,140.34,0.00245,23.72
49,2539,101.560,00:01:41.560,FACE,CRUZ_FIX,25,131.44,0.00490,8.11
50,2564,102.560,00:01:42.560,CRUZ_FIX,FACE,25,127.66,0.00069,50.00
51,2640,105.600,00:01:45.600,FACE,CRUZ_FIX,26,131.17,0.00219,8.05
52,2665,106.600,00:01:46.600,CRUZ_FIX,FACE,26,125.46,0.01202,28.03
53,2741,109.640,00:01:49.640,FACE,CRUZ_FIX,27,131.43,0.00451,8.08
54,2766,110.640,00:01:50.640,CRUZ_FIX,FACE,27,131.20,0.02456,15.97
55,2840,113.600,00:01:53.600,FACE,CRUZ_FIX,28,130.98,0.00000,8.06
56,2866,114.640,00:01:54.640,CRUZ_FIX,FACE,28,130.86,0.00001,18.85
57,2940,117.600,00:01:57.600,FACE,CRUZ_FIX,29,131.46,0.00467,8.05
58,2965,118.600,00:01:58.600,CRUZ_FIX,FACE,29,121.18,0.00977,43.14
59,3038,121.520,00:02:01.520,FACE,CRUZ_FIX,30,130.97,0.00000,8.06
60,3063,122.520,00:02:02.520,CRUZ_FIX,FACE,30,120.15,0.02544,30.54
61,3137,125.480,00:02:05.480,FACE,CRUZ_FIX,31,131.33,0.00358,8.05
62,3162,126.480,00:02:06.480,CRUZ_FIX,FACE,31,131.43,0.01893,31.39
63,3236,129.440,00:02:09.440,FACE,CRUZ_FIX,32,130.96,0.00000,8.03
64,3261,130.440,00:02:10.440,CRUZ_FIX,FACE,32,130.27,0.00000,51.12
65,3336,133.440,00:02:13.440,FACE,CRUZ_FIX,33,131.25,0.00275,8.08
66,3460,138.400,00:02:18.400,CRUZ_FIX,FACE,33,129.54,0.03043,23.46
67,3532,141.280,00:02:21.280,FACE,CRUZ_FIX,34,130.98,0.00000,8.02
68,3557,142.280,00:02:22.280,CRUZ_FIX,FACE,34,126.39,0.03154,17.26
69,3632,145.280,00:02:25.280,FACE,CRUZ_FIX,35,131.46,0.00484,8.21
70,3757,150.280,00:02:30.280,CRUZ_FIX,FACE,35,119.42,0.03535,19.02
71,3832,153.280,00:02:33.280,FACE,CRUZ_FIX,36,131.47,0.00491,7.93
72,3857,154.280,00:02:34.280,CRUZ_FIX,FACE,36,138.80,0.09678,51.20
73,3931,157.240,00:02:37.240,FACE,CRUZ_FIX,37,131.01,0.00000,7.97
74,3957,158.280,00:02:38.280,CRUZ_FIX,FACE,37,124.87,0.01901,38.51
75,4028,161.120,00:02:41.120,FACE,CRUZ_FIX,38,130.96,0.00000,8.04
76,4054,162.160,00:02:42.160,CRUZ_FIX,FACE,38,119.71,0.02372,60.46
77,4128,165.120,00:02:45.120,FACE,CRUZ_FIX,39,130.95,0.00000,7.95
78,4154,166.160,00:02:46.160,CRUZ_FIX,FACE,39,132.70,0.02702,63.41
79,4229,169.160,00:02:49.160,FACE,CRUZ_FIX,40,130.99,0.00000,7.98
80,4255,170.200,00:02:50.200,CRUZ_FIX,FACE,40,130.55,0.00484,26.45
81,4329,173.160,00:02:53.160,FACE,CRUZ_FIX,41,131.19,0.00224,8.06
82,4354,174.160,00:02:54.160,CRUZ_FIX,FACE,41,122.54,0.00038,44.43
83,4428,177.120,00:02:57.120,FACE,CRUZ_FIX,42,131.49,0.00490,8.03
84,4453,178.120,00:02:58.120,CRUZ_FIX,FACE,42,128.11,0.02056,24.91
85,4528,181.120,00:03:01.120,FACE,CRUZ_FIX,43,131.32,0.00359,8.02
86,4553,182.120,00:03:02.120,CRUZ_FIX,FACE,43,123.20,0.00000,68.75
87,4629,185.160,00:03:05.160,FACE,CRUZ_FIX,44,131.45,0.00480,8.08
